,Conforme,NON Conforme,PIETRA,Vide
Conforme,0.8356923076923077,0.015384615384615385,0.14646153846153845,0.0024615384615384616
NON Conforme,0.05647058823529412,0.768235294117647,0.16941176470588235,0.0058823529411764705
PIETRA,0.15027624309392265,0.09171270718232044,0.7513812154696132,0.0066298342541436465
Vide,0.0026191723415400735,0.001571503404924044,0.005762179151388162,0.9900471451021478
