epoch,phase,phase_index,phase_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,val_precision_conforme,val_recall_conforme,learning_rate,epoch_seconds
1,head,1,1,0.6161843287711467,0.547732756077105,0.7546703408031771,0.7693325770467007,0.6690456290828276,0.7255038380552932,0.8151765589782118,0.6676923076923077,0.001,486.0357888999861
2,head,1,2,0.5276524755214135,0.49997148966379035,0.7859950561251368,0.8001512573265267,0.7174197885862706,0.746716843093316,0.7659327925840093,0.8135384615384615,0.001,498.8327010999201
3,head,1,3,0.5152801120801012,0.5109642812273276,0.7873323337520768,0.7774626583475137,0.7203396769284645,0.7365405988887446,0.8305214723926381,0.6664615384615384,0.001,483.5293096000096
4,finetune,2,1,0.5567030952823323,0.4219860968539746,0.7675973578635977,0.8249196445452827,0.6947963415008463,0.7689542644005225,0.7974113674732696,0.872,0.0001,564.6593814999796
5,finetune,2,2,0.42731379831685534,0.3852878749500175,0.823681971066175,0.8408016638305917,0.77010978413925,0.8061076792429279,0.8825155494125777,0.7858461538461539,0.0001,549.3286258999724
6,finetune,2,3,0.38008908424555893,0.3707062240832975,0.8459294079507234,0.8472301002079788,0.7995893262554499,0.8130467807870493,0.8845892735913102,0.8018461538461539,0.0001,537.7217592999805
7,finetune,2,4,0.35203869349953515,0.37196467139424133,0.8582080479799004,0.846473813575345,0.8165374630222664,0.8154271197090375,0.8761183757742601,0.7833846153846153,0.0001,629.4264727999689
8,finetune,2,5,0.32925239774306153,0.35565445129526296,0.8680147505774608,0.8574399697485346,0.8305841623550856,0.8257756691292922,0.8978752570253599,0.8061538461538461,0.0001,618.8733140000841
9,finetune,2,6,0.31285565906088153,0.36950671915222,0.874579568018803,0.8566836831159009,0.8393965828316464,0.8211433820234568,0.8389021479713604,0.8652307692307692,0.0001,629.2159848000156
10,finetune,2,7,0.2916690883349236,0.3307526683965569,0.8838999878429307,0.866137266023823,0.8519997186038,0.8360151382028239,0.8778280542986425,0.8356923076923077,0.0001,726.3557554999134
11,finetune,2,8,0.2753525749473898,0.3313214191784816,0.8896138104307655,0.866137266023823,0.8595448061690807,0.8385606091662086,0.8932432432432432,0.8135384615384615,0.0001,775.8779555000365
12,finetune,2,9,0.2603294966789874,0.3878448617828266,0.896867528467804,0.8470410285498203,0.8691131480935549,0.8200691470503285,0.9133383571966842,0.7458461538461538,0.0001,691.503145600087
13,finetune,2,10,0.2423346102063793,0.33298952376537233,0.9036349637314098,0.864813764416714,0.8776915803564926,0.8342364924165435,0.8769230769230769,0.8418461538461538,0.0001,683.9780045000371
14,finetune,2,11,0.20698255686879002,0.3486823654552845,0.9196417716902379,0.8653809793911893,0.8986078260892062,0.8392521904628929,0.9146341463414634,0.7846153846153846,5e-05,824.7225828999653
15,finetune,2,12,0.18737768979794678,0.3731237802516981,0.9258824006159582,0.866137266023823,0.9067444330068863,0.8372611035864658,0.8970390309555855,0.8203076923076923,5e-05,759.2237536000321
