candidate_index,seed,score,max_abs_pp_size,max_abs_pp_effective_label,max_abs_pp_year,max_abs_pp_cam_num,max_abs_pp_cam_position,train_images,validation_images,test_images
191,20948826,6.764761226343,0.00255290179837786,0.35143596327563387,0.10555169070789816,1.1657463166342872,0.13586032694070127,24677,5289,5288
413,3072495611,7.201311562418,0.0005673115107498461,0.4049936887667265,0.12939701824159755,1.1548200837200753,0.1380182650275117,24678,5288,5288
467,2311724422,7.74663224233,0.0005673115107498461,0.25370775835825654,0.6588977746712459,0.8468905192634004,0.1645535957894353,24678,5288,5288
403,3931227037,9.619153592439,0.00255290179837786,0.5499788996165016,0.25680901723465155,1.1926394206659516,0.19475048893067992,24677,5289,5288
133,2287583085,9.819604965655,0.0031202133091277062,0.4867573522000388,0.2347772939772952,1.65000465856426,0.16611432572730678,24678,5289,5287
219,2168512926,9.997755209813,0.0031202133091277062,0.37959028782000814,0.7483953284466054,0.9776362670396317,0.19258182438822757,24678,5289,5287
409,1117036188,10.229747968563,0.00255290179837786,0.5245716838317271,0.4049417863198954,1.2875960121636947,0.12883999448112604,24677,5288,5289
75,1154891979,10.381199593208,0.00255290179837786,0.39560351062959853,0.6837648577039417,1.208149875527738,0.3347502674989684,24677,5289,5288
390,3398349854,10.3850738348,0.0031202133091277062,0.7085685359250142,0.2786522116366186,0.7231794630786617,0.14774716029697288,24678,5289,5287
312,3488652589,10.514925156082,0.00255290179837786,0.5377475862010925,0.4568359620912332,1.281837569187756,0.03430416540190606,24677,5289,5288
112,2682575764,10.661358198685,0.0005673115107498461,0.6445326061217962,0.48870110296171987,0.7037902674234395,0.3082149367370377,24678,5288,5288
431,3452547704,10.751902095609,0.0031202133091277062,0.679210997867262,0.23790185141881182,1.1325019050093168,0.1932577189104947,24678,5289,5287
213,1853935588,10.783547650504,0.00255290179837786,0.6540078240925773,0.3752366551553692,0.9680781031668815,0.17583974762962384,24677,5289,5288
278,673719950,11.00215385265,0.0005673115107498461,0.5468440958449214,0.4001037381880579,1.665410098848671,0.14564285448837921,24678,5288,5288
369,2567947413,11.108785838274,0.0031202133091277062,0.4775081044080167,0.8019922684526222,0.8941731487289424,0.22337582356034602,24678,5289,5287
451,4095695302,11.305848964511,0.0005673115107498461,0.7229713614111617,0.48870110296171987,0.6016634672071213,0.3725717501010877,24678,5288,5288
186,3925315160,11.339441713961,0.0031202133091277062,0.4775081044080167,0.7893388013850569,1.1037996683668823,0.0980459953090076,24678,5289,5287
237,3456886374,11.784872084986,0.0005673115107498461,0.4743359344122666,0.7783185642092363,1.5305051810303016,0.03217840668202854,24678,5288,5288
405,2850198865,11.788198725802,0.00255290179837786,0.8270863368852339,0.29959368995113067,0.6957524886274093,0.3725717501010877,24677,5288,5289
363,3410808776,11.827574737366,0.00255290179837786,0.6225152434264629,0.6538594993673854,0.960452810049226,0.15692900632856777,24677,5289,5288
203,2978957523,11.98342643359,0.00255290179837786,0.7548654041373766,0.37025201212971837,0.9543771687756859,0.4194678141783541,24677,5288,5289
148,2856933417,12.061615608774,0.0005673115107498461,0.6792192849523317,0.7723622224776037,0.630984932601077,0.08891063058520388,24678,5288,5288
232,589904843,12.09813464254,0.0031202133091277062,0.4879329665491454,0.5434526655802472,1.9644172009064604,0.26068591642146544,24678,5289,5287
244,2037704660,12.224076455147,0.0031202133091277062,0.5972522958545312,0.6349523335515386,1.280150920093142,0.2044686577445063,24678,5289,5287
334,1683416289,12.232014361423,0.00255290179837786,0.606450534603411,0.7074564393734022,1.0757804075617834,0.22337582356034602,24677,5289,5288
