strategy,dimension,category,count,percentage,s0_percentage,delta_percentage_points
S3a,historical_tb,complete_pairs_same_label_principal,7348,,,
S3a,historical_tb,complete_pairs_different_label_principal,3881,,,
S3a,historical_tb,paired_images_kept,26703,,,
S3a,historical_tb,unpaired_images_kept,2340,,,
S3a,historical_tb,images_in_disagreeing_pairs_kept,9336,,,
S3b,size,kept,22103,62.7,,
S3b,size,removed,13151,37.3,,
S3b,classes,Conforme,6723,30.42,30.74,-0.32
S3b,classes,NON Conforme,2553,11.55,16.05,-4.5
S3b,classes,PIETRA,3145,14.23,17.11,-2.88
S3b,classes,Vide,9682,43.8,36.1,7.7
S3b,years,2025,11022,49.87,57.49,-7.62
S3b,years,2026,11081,50.13,42.51,7.62
S3b,positions,B,12759,57.73,51.59,6.14
S3b,positions,T,9344,42.27,48.41,-6.14
S3b,cameras,1,3192,14.44,16.48,-2.04
S3b,cameras,2,3011,13.62,16.89,-3.27
S3b,cameras,3,3770,17.06,17.46,-0.4
S3b,cameras,4,3898,17.64,16.43,1.21
S3b,cameras,5,4552,20.59,16.77,3.82
S3b,cameras,6,3680,16.65,15.96,0.69
S3b,remaining_flag,is_masked_disagreement,0,0.0,,
S3b,remaining_flag,is_multiple,0,0.0,,
S3b,remaining_flag,is_chunk,0,0.0,,
S3b,remaining_flag,is_mixed_quality,0,0.0,,
S3b,remaining_flag,is_missing_labeled_by,0,0.0,,
S3b,historical_tb,complete_pairs,6600,,,
S3b,historical_tb,partial_pairs,6795,,,
S3b,historical_tb,fully_removed_pairs,2781,,,
S3b,historical_tb,complete_pairs_same_label_principal,4177,,,
S3b,historical_tb,complete_pairs_different_label_principal,2423,,,
S3b,historical_tb,paired_images_kept,19995,,,
S3b,historical_tb,unpaired_images_kept,2108,,,
S3b,historical_tb,images_in_disagreeing_pairs_kept,7282,,,
S1_REVIEWED,size,kept,35254,100.0,,
S1_REVIEWED,size,removed,0,0.0,,
S1_REVIEWED,classes,Conforme,10832,30.73,30.74,-0.01
S1_REVIEWED,classes,NON Conforme,5664,16.07,16.05,0.02
