,Conforme,NON Conforme,PIETRA,Vide
Conforme,0.9415384615384615,0.0024615384615384616,0.016615384615384615,0.039384615384615386
NON Conforme,0.2741176470588235,0.4223529411764706,0.17294117647058824,0.13058823529411764
PIETRA,0.6497237569060773,0.07292817679558011,0.16795580110497238,0.10939226519337017
Vide,0.0020953378732320588,0.001571503404924044,0.0,0.9963331587218439
