,Conforme,NON Conforme,PIETRA,Vide
Conforme,0.8781538461538462,0.010461538461538461,0.10892307692307693,0.0024615384615384616
NON Conforme,0.05764705882352941,0.7458823529411764,0.1811764705882353,0.015294117647058824
PIETRA,0.14585635359116023,0.06629834254143646,0.7845303867403315,0.0033149171270718232
Vide,0.003666841278156103,0.0010476689366160294,0.004714510214772132,0.9905709795704557
