,Conforme,NON Conforme,PIETRA,Vide
Conforme,0.8043076923076923,0.023384615384615386,0.16923076923076924,0.003076923076923077
NON Conforme,0.05764705882352941,0.7623529411764706,0.17058823529411765,0.009411764705882352
PIETRA,0.15248618784530388,0.16795580110497238,0.6751381215469613,0.004419889502762431
Vide,0.001571503404924044,0.003143006809848088,0.006286013619696176,0.9889994761655317
