epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,val_precision_conforme,val_recall_conforme,learning_rate,epoch_seconds
1,0.7129839308795094,0.611167124526265,0.7114316975321149,0.7708451503119682,0.5748469512608156,0.6700475824753136,0.7269969666329625,0.8849230769230769,0.0003,502.4183495999896
2,0.5499632697744617,8.666724544906689,0.7701098188596669,0.3072414445074683,0.6761563041764751,0.11751518657795777,0.3072414445074683,1.0,0.0003,492.8467331000138
3,0.5097275580396411,0.5433458435014777,0.7846577784981967,0.7787861599546227,0.7036721981538374,0.6622208083302709,0.6474411047928513,0.9809230769230769,0.0003,530.1971936000045
4,0.49515400219942823,5.745135239153779,0.7894800826680715,0.4274910190962375,0.7124773857017758,0.36075255170714826,0.6625065002600105,0.784,0.0003,500.59558089997154
5,0.47720738948683744,2.2134975172842712,0.8006645864570248,0.3346568349404424,0.7307181001374764,0.25410630587346444,1.0,0.012923076923076923,0.0003,482.6139641000191
6,0.4688136163136897,0.8252213113439582,0.8030554767597358,0.6456797126110796,0.7355186524311187,0.59846711859413,0.9532967032967034,0.21353846153846154,0.0003,491.39497819996905
7,0.44725656791034196,1.0603652929770606,0.8145236454998581,0.7260351673284174,0.7519789042638597,0.570069816179656,0.8403973509933775,0.7809230769230769,0.00015,461.6976559999748
8,0.4387325497033381,3.333882303448881,0.8179276249138874,0.2516543770088864,0.7571016844997092,0.2134912338508409,0.9433497536945813,0.2356923076923077,0.00015,460.9807802999858
