,Conforme,NON Conforme,PIETRA,Vide
Conforme,0.9809230769230769,0.0036923076923076922,0.01353846153846154,0.0018461538461538461
NON Conforme,0.24588235294117647,0.6470588235294118,0.07764705882352942,0.029411764705882353
PIETRA,0.6917127071823205,0.1856353591160221,0.11602209944751381,0.0066298342541436465
Vide,0.017286537454164485,0.0020953378732320588,0.0010476689366160294,0.9795704557359874
