dimension,group,n_images,accuracy,macro_f1,precision_conforme,recall_conforme
year,2025,3040,0.8088815789473685,0.6713537857627832,0.747289972899729,0.9804444444444445
year,2026,2249,0.7381058248110272,0.6400911327344815,0.49797160243407707,0.982
cam_position,T,2559,0.7737397420867527,0.6463236806956709,0.608503100088574,0.9899135446685879
cam_position,B,2730,0.7835164835164835,0.6759783706779412,0.6804201050262566,0.9742212674543501
cam_num,1,871,0.7933409873708381,0.658956318111318,0.6585365853658537,0.9818181818181818
cam_num,2,894,0.7460850111856824,0.6500258212552424,0.6407563025210085,0.9807073954983923
cam_num,3,924,0.7738095238095238,0.6662746241048852,0.6491596638655462,0.9903846153846154
cam_num,4,868,0.7995391705069125,0.6974023611873205,0.7060185185185185,0.9775641025641025
cam_num,5,887,0.7666290868094702,0.6587195656663346,0.5963060686015831,0.9658119658119658
cam_num,6,845,0.7952662721893491,0.6294500411615912,0.628032345013477,0.9872881355932204
chunk,False,4551,0.8092726873214678,0.669945709022185,0.6549333333333334,0.9839743589743589
chunk,True,738,0.5907859078590786,0.34633501966452135,0.6235093696763203,0.9708222811671088
multiple,False,5115,0.7786901270772238,0.6580737795605336,0.6417021276595745,0.9811320754716981
multiple,True,174,0.7816091954022989,0.493757939308398,0.7678571428571429,0.9772727272727273
