model,accuracy,macro_f1,precision_conforme,recall_conforme,parameters,onnx_size_bytes,onnx_size_mib,validation_max_abs_difference_logits,validation_mean_abs_difference_logits,validation_max_abs_difference_probabilities,validation_argmax_differences,validation_decision_differences,cpu_inference_mean_ms,cpu_inference_median_ms,cpu_inference_p90_ms,cpu_inference_p95_ms,cpu_inference_p99_ms,cpu_inference_min_ms,cpu_inference_max_ms,cpu_inference_images_per_second,cpu_end_to_end_mean_ms,cpu_end_to_end_median_ms,cpu_end_to_end_p90_ms,cpu_end_to_end_p95_ms,cpu_end_to_end_p99_ms,cpu_end_to_end_min_ms,cpu_end_to_end_max_ms,cpu_end_to_end_images_per_second,cpu_preprocessing_mean_ms,cpu_process_ram_peak_mib,cpu_gpu_process_memory_mib,cuda_inference_mean_ms,cuda_inference_median_ms,cuda_inference_p90_ms,cuda_inference_p95_ms,cuda_inference_p99_ms,cuda_inference_min_ms,cuda_inference_max_ms,cuda_inference_images_per_second,cuda_end_to_end_mean_ms,cuda_end_to_end_median_ms,cuda_end_to_end_p90_ms,cuda_end_to_end_p95_ms,cuda_end_to_end_p99_ms,cuda_end_to_end_min_ms,cuda_end_to_end_max_ms,cuda_end_to_end_images_per_second,cuda_preprocessing_mean_ms,cuda_process_ram_peak_mib,cuda_gpu_process_memory_mib
resnet18,0.8815,0.8521,0.8836,0.8782,11178564,44704751,42.63377285003662,1.621246337890625e-05,4.308763891458511e-06,2.086162567138672e-06,0,0,17.756040600826964,17.538850021082908,18.983550043776635,20.212835003621876,22.201728986110535,14.492499991320074,24.32810002937913,56.318861985110935,36.17613900103606,32.08239999366924,48.34897997789085,53.93434492289089,76.22253802604968,28.483300004154444,137.00400001835078,27.642529789355372,11.739962602267042,653.828125,,3.8653436026070267,3.660849994048476,4.546310042496771,4.970254999352617,5.891732034506275,3.2888000132516026,9.974700049497187,258.709212636501,19.05677439738065,18.809249973855913,22.613050078507513,24.125674978131425,28.73679006821476,12.712600058875978,70.64449996687472,52.474777690470525,10.657470402307808,1109.75390625,
efficientnet_b0,0.8661,0.836,0.8778,0.8357,4012672,16040682,15.297586441040039,0.0009317398071289062,0.0001499259378761053,7.382035255432129e-05,0,0,14.955744398292154,14.837150054518133,16.02041997248307,16.46305496105924,17.478003003634512,13.074400019831955,18.646700074896216,66.86394026058598,32.278469398617744,29.024799936451018,42.82781995134428,48.82761500775813,67.8924460208509,25.491900043562055,74.50380001682788,30.980403303845097,10.933236000593752,633.171875,,11.407734798500314,11.012299975845963,13.048060040455312,13.862634933320802,15.597474982496346,9.87909990362823,29.442899976857007,87.65982183697523,24.415671199792996,24.34409997658804,26.507019973360002,27.1036350633949,30.20660195383243,19.924400025047362,33.280299976468086,40.957301227437824,10.763808800373226,1152.33984375,
mobilenet_v3_small,0.8421,0.8049,0.8731,0.8043,1521956,6097436,5.814968109130859,0.00021076202392578125,3.905154881067574e-05,2.4497509002685547e-05,0,0,4.833952797809616,4.797949979547411,5.240429972764105,5.437585065374151,5.975459975888952,4.0354999946430326,6.502500036731362,206.87003821243866,21.532825600123033,18.095050007104874,31.20427002431825,38.36856497218831,60.344181997934356,15.42370009701699,105.32319999765605,46.440723506082094,10.58683219878003,616.4296875,,8.060707397991791,7.651149993762374,9.554439969360828,10.310780035797507,11.714276992715892,6.838599918410182,13.343099970370531,124.0585907198586,19.31523359962739,19.22550000017509,21.304009936284274,22.02343492535874,24.58752698730677,16.08299999497831,26.139199966564775,51.77260708973724,10.900969396578148,1074.91015625,
